uuid,test_id,test_name,device,date,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object2_name,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,correct,count_rewards
7E9B3F45D61F47FD886745E283A3FEA1,6062-0002,esp2020-A,6062,2024-11-11,2024-11-11T12:19:38.000Z,2024-11-11T12:31:15.000Z,1,2024-11-11T12:19:40.273Z,0,1,entrenamiento,1,1,2,esp2020-perro,esp2020-gato,13376,esp2020-perro,CENTER_LEFT,esp2020-perro,CENTER_LEFT,6947,1,4
7E9B3F45D61F47FD886745E283A3FEA1,6062-0002,esp2020-A,6062,2024-11-11,2024-11-11T12:19:38.000Z,2024-11-11T12:31:15.000Z,2,2024-11-11T12:20:08.184Z,1,1,entrenamiento,1,2,2,esp2020-pisar,esp2020-patear,1025,esp2020-patear,CENTER_RIGHT,esp2020-pisar,CENTER_LEFT,4661,0,4
7E9B3F45D61F47FD886745E283A3FEA1,6062-0002,esp2020-A,6062,2024-11-11,2024-11-11T12:19:38.000Z,2024-11-11T12:31:15.000Z,3,2024-11-11T12:20:21.489Z,0,1,entrenamiento,1,2,2,esp2020-pisar,esp2020-patear,2307,esp2020-patear,CENTER_RIGHT,esp2020-patear,CENTER_RIGHT,1950,1,4
7E9B3F45D61F47FD886745E283A3FEA1,6062-0002,esp2020-A,6062,2024-11-11,2024-11-11T12:19:38.000Z,2024-11-11T12:31:15.000Z,4,2024-11-11T12:20:33.156Z,0,1,entrenamiento,1,3,2,esp2020-comer,esp2020-tirar,1935,esp2020-tirar,CENTER_RIGHT,esp2020-tirar,CENTER_RIGHT,1875,1,4
7E9B3F45D61F47FD886745E283A3FEA1,6062-0002,esp2020-A,6062,2024-11-11,2024-11-11T12:19:38.000Z,2024-11-11T12:31:15.000Z,5,2024-11-11T12:20:44.750Z,0,1,entrenamiento,1,4,2,esp2020-cabeza,esp2020-mano,554,esp2020-cabeza,CENTER_LEFT,esp2020-cabeza,CENTER_LEFT,1863,1,4
7E9B3F45D61F47FD886745E283A3FEA1,6062-0002,esp2020-A,6062,2024-11-11,2024-11-11T12:19:38.000Z,2024-11-11T12:31:15.000Z,6,2024-11-11T12:20:56.274Z,0,2,Nivel 1,2,1,2,esp2020-lana,esp2020-aguja,1249,esp2020-lana,CENTER_LEFT,esp2020-lana,CENTER_LEFT,3010,1,4
7E9B3F45D61F47FD886745E283A3FEA1,6062-0002,esp2020-A,6062,2024-11-11,2024-11-11T12:19:38.000Z,2024-11-11T12:31:15.000Z,7,2024-11-11T12:21:07.886Z,0,2,Nivel 1,2,2,2,esp2020-raiz,esp2020-paja,5906,esp2020-paja,CENTER_RIGHT,esp2020-raiz,CENTER_LEFT,4060,0,4
7E9B3F45D61F47FD886745E283A3FEA1,6062-0002,esp2020-A,6062,2024-11-11,2024-11-11T12:19:38.000Z,2024-11-11T12:31:15.000Z,8,2024-11-11T12:21:25.157Z,0,2,Nivel 1,2,3,2,esp2020-serrucho,esp2020-tornillo,456,esp2020-tornillo,CENTER_RIGHT,esp2020-tornillo,CENTER_RIGHT,3680,1,4
7E9B3F45D61F47FD886745E283A3FEA1,6062-0002,esp2020-A,6062,2024-11-11,2024-11-11T12:19:38.000Z,2024-11-11T12:31:15.000Z,9,2024-11-11T12:21:36.571Z,0,2,Nivel 1,2,4,2,esp2020-zapatilla,esp2020-remera,536,esp2020-remera,CENTER_RIGHT,esp2020-remera,CENTER_RIGHT,1806,1,4
7E9B3F45D61F47FD886745E283A3FEA1,6062-0002,esp2020-A,6062,2024-11-11,2024-11-11T12:19:38.000Z,2024-11-11T12:31:15.000Z,10,2024-11-11T12:21:46.191Z,0,2,Nivel 1,2,5,2,esp2020-sucio,esp2020-limpio,485,esp2020-sucio,CENTER_LEFT,esp2020-sucio,CENTER_LEFT,2463,1,4
7E9B3F45D61F47FD886745E283A3FEA1,6062-0002,esp2020-A,6062,2024-11-11,2024-11-11T12:19:38.000Z,2024-11-11T12:31:15.000Z,11,2024-11-11T12:21:56.423Z,0,2,Nivel 1,2,6,2,esp2020-mezclar,esp2020-podar,370,esp2020-mezclar,CENTER_LEFT,esp2020-mezclar,CENTER_LEFT,4056,1,4
7E9B3F45D61F47FD886745E283A3FEA1,6062-0002,esp2020-A,6062,2024-11-11,2024-11-11T12:19:38.000Z,2024-11-11T12:31:15.000Z,12,2024-11-11T12:22:08.103Z,0,2,Nivel 1,2,7,2,esp2020-avion,esp2020-barco,136,esp2020-avion,CENTER_LEFT,esp2020-avion,CENTER_LEFT,1649,1,4
7E9B3F45D61F47FD886745E283A3FEA1,6062-0002,esp2020-A,6062,2024-11-11,2024-11-11T12:19:38.000Z,2024-11-11T12:31:15.000Z,13,2024-11-11T12:22:17.187Z,0,2,Nivel 1,2,8,2,esp2020-lavar,esp2020-tocar,670,esp2020-tocar,CENTER_RIGHT,esp2020-lavar,CENTER_LEFT,3312,0,4
7E9B3F45D61F47FD886745E283A3FEA1,6062-0002,esp2020-A,6062,2024-11-11,2024-11-11T12:19:38.000Z,2024-11-11T12:31:15.000Z,14,2024-11-11T12:22:28.456Z,0,2,Nivel 1,2,9,2,esp2020-casa,esp2020-cama,487,esp2020-casa,CENTER_LEFT,esp2020-casa,CENTER_LEFT,1941,1,4
7E9B3F45D61F47FD886745E283A3FEA1,6062-0002,esp2020-A,6062,2024-11-11,2024-11-11T12:19:38.000Z,2024-11-11T12:31:15.000Z,15,2024-11-11T12:22:38.202Z,0,2,Nivel 1,2,10,2,esp2020-contento,esp2020-triste,240,esp2020-contento,CENTER_LEFT,esp2020-triste,CENTER_RIGHT,7705,0,4
7E9B3F45D61F47FD886745E283A3FEA1,6062-0002,esp2020-A,6062,2024-11-11,2024-11-11T12:19:38.000Z,2024-11-11T12:31:15.000Z,16,2024-11-11T12:22:53.436Z,0,2,Nivel 1,2,11,2,esp2020-nido,esp2020-canasto,406,esp2020-canasto,CENTER_RIGHT,esp2020-nido,CENTER_LEFT,2741,0,4
